id,overall_worklogs
675975,20386.422582338033
675972,3454.204406448105
675965,7585.626774276849
675961,10131.455822883165
675955,11507.530444061085
675952,5778.325091919612
675949,10210.77858970385
675938,5477.0141387575
675921,8546.439757150709
675919,13855.407821917917
675917,3139.912686838173
675915,7805.529260945484
675912,1829.6697367219172
675910,5586.533239062507
675909,8364.250187817734
675906,3526.7739355675053
675892,5460.49585241899
675887,3536.1082598644925
675878,19882.173277406604
675873,3812.5928717084753
675861,13776.695294258392
675857,10785.398965541195
675853,9423.347106083813
675850,15005.273164196815
675849,14042.757335492757
675847,7695.613180300681
675845,25937.527286416924
675843,15922.204323081824
675841,15060.046582763685
675838,16675.48141284071
675836,8497.709387861087
675834,5407.131154867458
675831,8694.00648156951
675825,7348.471508805778
721916,29509.12383549634
721915,5952.5214868618805
721914,14065.46075469007
721913,11180.760360053308
721912,16662.396935220884
721911,4923.822197832696
721910,20213.13530087074
721909,5330.734549032259
721908,5199.6552609684195
721907,5776.0822105746265
721906,6416.1058211165155
721905,19102.59757303017
721904,14735.376697913453
721903,20300.17449024365
721902,2701.3666962282914
721901,13776.31472665865
721899,7790.334275472096
721898,16543.734070973383
721897,19032.888049289395
721896,14702.73363473129
721895,13625.017997459565
721894,21995.45410854537
721893,66846.25980612324
721892,12578.499348107325
721890,6418.25681473842
721889,10021.021678881461
721888,12045.3971751493
721885,8818.102587399773
721884,9087.785259043174
721883,4050.740525819414
721882,5790.839601760858
721881,5007.3526988257645
721877,10869.988820049071
721876,6454.034587931077
721875,24565.205930313794
721874,8786.966138443524
721873,8944.733765420262
721872,8020.857708585449
721871,11090.874703457524
721869,11170.549024382432
721868,18169.088932719478
721867,10165.655224532527
721865,10320.816953335088
721864,4447.23600314797
721862,8153.110782820075
721861,16493.249177215737
721860,5667.032234119133
721859,12679.621415600917
721858,11080.143482209724
721857,4556.0343106281225
721856,2507.2212819032625
721855,8369.27935713472
721851,3069.417341998349
721850,12338.610568611342
721849,6985.050098824759
721848,9522.532322615474
721846,18538.532784527106
721845,8811.74106176835
721844,11522.316929368688
721843,3128.308168370606
721842,8398.642627830486
721841,28058.967141242636
721839,16729.907568330294
721838,18479.520252413564
721837,17089.31578580127
721836,7670.929186850697
721835,15370.141388272208
721834,20311.431089231544
721833,4208.500174109209
721832,27670.06230645521
721831,5058.907180308166
721830,13195.908554944552
721827,11298.066163890702
721824,14273.842521790433
721822,10922.688963778046
721821,7421.2985244413385
721820,5936.088898640937
721818,5614.802308523297
721817,2691.9997316569297
721816,10078.973079532117
721814,21259.201612054196
721809,7424.144829555476
721807,4788.933316249331
721806,6436.689220185055
721805,20934.98413630175
721804,4542.773803681771
721803,22622.56425586734
721802,21478.82362633615
721801,6688.934291756426
721800,9560.214351967259
721799,22192.729986623814
721798,9570.987327630424
721797,10537.191556641585
721796,21466.30399102744
721795,13201.749264082478
721794,10004.216788947715
721792,8077.139633259785
721791,5647.811046654824
721790,3620.9567062367087
721787,6282.128635394533
721786,7559.090190067589
721785,6141.364093734456
721784,6671.361442628829
721783,7440.838753433618
721782,10656.37024987639
721780,6857.4288117548895
721779,8587.508978980364
721778,8694.541240077797
721777,6782.05997462786
721776,4616.064846146943
721775,4422.532431644559
721774,3920.6713926163893
721773,8941.933572168651
721772,16450.01437254381
721771,9808.337569030286
721770,6570.345724999962
721769,4332.729494692844
721768,19666.261589655864
721767,9268.098117169622
721766,15611.613850977175
721765,12812.45177386986
721763,4346.658867556518
721762,12757.760170944533
721761,8158.085084994966
721760,13964.7319492367
721759,15169.237226460173
721758,12807.68364696383
721757,5155.8068498693165
721755,7739.067680590364
721754,17963.72432249332
721751,6297.663981220701
721750,15543.893850802573
721749,11263.779923586984
721748,15331.31699465226
721747,6791.779496897507
721746,7174.672056956228
721745,15315.673659704275
721744,10209.323492114741
721743,6112.555149087075
721742,22817.295980680738
721741,4329.308325172262
721740,17361.121290961146
721738,16306.975887113795
721737,6361.967152555905
721736,8215.515439111809
721735,18359.02867259109
721734,12812.843745080248
721733,9830.964540166924
721732,3114.2873927524406
721731,10643.423793533364
721730,5398.256862222636
721729,13995.88387557094
721728,7812.236130710172
721727,11183.970229698885
721726,9231.523121867831
721725,16335.241703387064
721724,6664.377252764715
721723,4080.4609718019665
721722,4264.011062799678
721721,10184.014675687236
721720,7435.13016658305
721719,8685.717114322659
721718,14878.572749527215
721717,7007.918507324647
721716,13922.948263540431
721715,20322.31046458791
721714,14418.550413078945
721713,7560.583134820404
721712,5318.336578246802
721710,4639.528846441377
721708,11861.627928176553
721707,14654.738611425957
721706,28836.09855933106
721705,5236.518700800578
721704,6064.317138607172
721703,18595.80035298224
721702,14094.990241411746
721700,4891.6104933799015
721699,7629.03492919135
721698,8458.127030394982
721697,10423.513519538192
721696,7140.674349396894
721695,7995.113813805374
721694,12297.49885815391
721693,18172.729811063407
721692,6291.575565305908
721691,5511.203460376623
721690,11120.160824216968
721689,14614.003464754094
721688,5673.626197455406
721687,10262.828272295286
721686,5176.247401038264
721685,5710.0733413573535
721684,22847.354541967972
721683,16236.987588925322
721681,19530.60471151623
721680,7627.508030077305
721679,8091.868256599502
721678,3378.8233295517743
721677,8373.181428806423
721676,4558.037002235863
721675,14042.612571555717
721673,6241.873354151636
