id,overall_worklogs
675975,14063.054244021316
675972,4735.024881907059
675965,6816.244094396047
675961,10951.290781383112
675955,10316.67042502154
675952,5861.767510683592
675949,7377.60641302942
675938,6143.031898545393
675921,6670.2258631281065
675919,11188.256593982325
675917,4058.55785704814
675915,5930.201861175865
675912,2964.5311803597115
675910,5913.131346400699
675909,6364.1984922180945
675906,3620.5881820762024
675892,6594.019677927462
675887,3871.440331351211
675878,13236.300523570897
675873,4762.022819798588
675861,12662.695555881844
675857,12729.502684745747
675853,13490.445932661347
675850,12896.405363386
675849,10358.14795046593
675847,10093.585708975143
675845,15850.916624166764
675843,15641.469925114632
675841,12813.511065444227
675838,10104.893161970895
675836,9647.189899717776
675834,6055.716748677703
675831,9475.320887360274
675825,6812.1831311533615
721916,20706.436862014718
721915,4768.384298042303
721914,9058.821453889916
721913,11956.082857253363
721912,9334.475897951683
721911,6185.833206285584
721910,12962.29916964822
721909,5838.6671745907925
721908,5203.198697059709
721907,6512.46808090588
721906,7590.015509978926
721905,12322.162947455727
721904,9591.124810550264
721903,11435.383538616315
721902,3306.878334074031
721901,9849.066144587372
721899,8940.056788891765
721898,11252.636147000014
721897,11485.345028247411
721896,10547.422467251668
721895,12827.885837436866
721894,12082.756934966246
721893,37574.360822334005
721892,9228.630792080152
721890,5798.2160026692645
721889,11149.534732785558
721888,7445.924275252114
721885,8711.05392401983
721884,6229.170883200463
721883,4475.0194710735295
721882,5203.268545467218
721881,5520.088211985788
721877,7829.20573332422
721876,6973.843265519692
721875,17294.856339869166
721874,8492.45073597572
721873,7613.652166718866
721872,6737.743828760125
721871,9745.800029604294
721869,9289.192616633287
721868,19756.475459616657
721867,8894.037687609656
721865,7369.979667877685
721864,5372.456940520663
721862,7342.272018498863
721861,8002.501325974273
721860,4544.388709222603
721859,9117.156136401823
721858,11049.006615392249
721857,4830.393626880845
721856,3902.2993448265156
721855,6105.617382026397
721851,3238.6713304637688
721850,8707.383109750048
721849,7050.772644389928
721848,6857.218401889938
721846,13358.398236023628
721845,9096.874796327831
721844,10375.736334582554
721843,3695.9854208802144
721842,10430.877509228445
721841,12227.065054464658
721839,11023.814473102417
721838,10709.759314094852
721837,9065.54982582203
721836,6296.843316966569
