id,overall_worklogs
675975,17102.4444932621
675972,16865.025306538937
675965,16907.894253621478
675961,16917.856071931434
675955,17093.24884340968
675952,16923.060852074515
675949,17370.977376738967
675938,18013.190655650153
675921,16889.793401263116
675919,17229.677813353843
675917,16879.439883535513
675915,16929.97437653859
675912,16807.592578841708
675910,16891.81233196297
675909,16888.21287933811
675906,16847.874992373076
675892,16884.970382059942
675887,16875.353482763356
675878,17288.305831795642
675873,16866.10959193394
675861,17099.941907237877
675857,17035.538770253184
675853,16946.230118021682
675850,17444.341320028867
675849,17124.365825921657
675847,17379.113398569472
675845,17561.610808839996
675843,17241.637012154097
675841,17115.110439184456
675838,16885.941847273287
675836,16895.677635553686
675834,16852.49813989453
675831,16897.05193732342
675825,16888.84458213915
721916,16658.43171565071
721915,16606.008909444266
721914,17106.603619899746
721913,17501.263425822366
721912,19513.529553943717
721911,16374.215259984052
721910,20663.460144171684
721909,16962.131606647014
721908,17113.669699827573
721907,16823.244321852497
721906,17276.299362245874
721905,17319.98516306249
721904,16828.294765213086
721903,16917.18512188753
721902,16738.02805433058
721901,17052.516883346932
721899,16613.61484015114
721898,17399.59487815884
721897,17629.250306848233
721896,17020.770868576477
721895,16946.081821556778
721894,17716.107171164484
721893,18253.493825038815
721892,16708.213904903434
721890,16861.142203772004
721889,16717.779599100202
721888,17008.624068961984
721885,16866.11943734792
721884,16637.87449065752
721883,16816.56627391558
721882,16418.92618184448
721881,17753.65736290425
721877,16466.16795526416
721876,16961.799220655146
721875,17516.543763505128
721874,16639.476761272905
721873,16694.860733305854
721872,16847.520124055864
721871,17111.160545098806
721869,16847.089920649727
721868,19109.68521322844
721867,16618.625889450625
721865,17166.0002286742
721864,16395.53106271468
721862,16862.83013041121
721861,16717.608764993336
721860,16551.730720418327
721859,16545.587524164916
721858,16967.494866294313
721857,16301.76729209787
721856,16945.031034492644
721855,16976.936897367643
721851,16375.233941768598
721850,16868.38613450918
721849,16580.376163371613
721848,16251.397251977944
721846,17724.431781895226
721845,16992.098677163376
721844,16602.85843669242
721843,17023.34839989174
721842,16842.266996963168
